"InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3135983"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3135983"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3135983","COMPUTERX","Security Update","","KB3135983",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3138378"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3138378"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3138378","COMPUTERX","Update","","KB3138378",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3138901"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3138901"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3138901","COMPUTERX","Update","","KB3138901",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3138612"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3138612"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3138612","COMPUTERX","Update","","KB3138612",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3156016"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3156016"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3156016","COMPUTERX","Security Update","","KB3156016",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3179573"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3179573"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3179573","COMPUTERX","Update","","KB3179573",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3177467"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3177467"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3177467","COMPUTERX","Update","","KB3177467",,"NT AUTHORITY\SYSTEM",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3181988"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3181988"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3181988","COMPUTERX","Update","","KB3181988",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4014565"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4014565"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4014565","COMPUTERX","Update","","KB4014565",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3184143"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3184143"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3184143","COMPUTERX","Update","","KB3184143",,"DOMAIN\\userx",,"",
