#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer,,
name,userx,OperatingSystemVersion
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,userx,unknown
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
