PSComputerName,userx,__CLASS,userx,__DYNASTY,userx,__PROPERTY_COUNT,userx,__SERVER,userx,__PATH,userx,Caption,userx,HelpLink,userx,IdentifyingNumber,userx,InstallDate2,userx,InstallSource,userx,Language,userx,Name,userx,PackageCode,userx,ProductID,userx,RegOwner,userx,Transforms,userx,URLUpdateInfo,userx,Version,WordCount
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-1000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-1000-0000000FF1CE}-C\,userx,0,C:\WINDOWS\Installer\6ae67.msi,Microsoft Office Professional Plus 2016,C:\WINDOWS\Installer\6ae67.msi,{5046E58E-C6FD-4A8C-B22D-0E0BF329EDC1},userx,00339-10000-00000-AA693,Generic Company,userx userx  userx,,C:\WINDOWS\Installer\{90160000-0011-0000-1000-0000000FF1CE}\ShellUI.MST,,,Microsoft Corporation,userx,0
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-1000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-1000-0000000FF1CE}-C\,userx,0,C:\WINDOWS\Installer\73dc520.msi,Microsoft Office Professional Plus 2016,C:\WINDOWS\Installer\73dc520.msi,{5046E58E-C6FD-4A8C-B22D-0E0BF329EDC1},userx,00339-10000-00000-AA981,Generic Company,userx J,,C:\WINDOWS\Installer\{90160000-0011-0000-1000-0000000FF1CE}\ShellUI.MST,,,Microsoft Corporation,userx,0
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-0000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-0000-0000000FF1CE}-C\,userx,0,C:\Windows\Installer\3fce9dc.msi,Microsoft Office Professional Plus 2016,C:\Windows\Installer\3fce9dc.msi,{F3CA4D97-AE37-4482-A0A6-81878EA5AD04},userx,00339-10000-00000-AA028,,userx Basith M,,C:\Windows\Installer\{90160000-0011-0000-0000-0000000FF1CE}\ShellUI.MST;:core.mst,,,Microsoft Corporation,userx,2
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-0000-0000000FF1CE},userx,,C:\Program Files (x86)\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-0000-0000000FF1CE}-C\,userx,0,C:\Windows\Installer\2350326.msi,Microsoft Office Professional Plus 2016,C:\Windows\Installer\2350326.msi,{F3CA4D97-AE37-4482-A0A6-81878EA5AD04},userx,00339-10000-00000-AA697,Generic Company,userx Kumar R,,C:\Windows\Installer\{90160000-0011-0000-0000-0000000FF1CE}\ShellUI.MST,,,Microsoft Corporation,userx,2
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-1000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-1000-0000000FF1CE}-C\,userx,0,C:\WINDOWS\Installer\bbc0e74.msi,Microsoft Office Professional Plus 2016,C:\WINDOWS\Installer\bbc0e74.msi,{5046E58E-C6FD-4A8C-B22D-0E0BF329EDC1},userx,00339-10000-00000-AA174,Generic Company,userx userx,,C:\WINDOWS\Installer\{90160000-0011-0000-1000-0000000FF1CE}\ShellUI.MST,,,Microsoft Corporation,userx,0
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-1000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-1000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-1000-0000000FF1CE}-C\,userx,0,C:\WINDOWS\Installer\bed0fcd.msi,Microsoft Office Professional Plus 2016,C:\WINDOWS\Installer\bed0fcd.msi,{5046E58E-C6FD-4A8C-B22D-0E0BF329EDC1},userx,00339-10000-00000-AA741,Generic Company,userx userx,,C:\WINDOWS\Installer\{90160000-0011-0000-1000-0000000FF1CE}\ShellUI.MST,,,Microsoft Corporation,userx,0
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-0000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-0000-0000000FF1CE}-C\,userx,0,C:\Windows\Installer\11c827.msi,Microsoft Office Professional Plus 2016,C:\Windows\Installer\11c827.msi,{F3CA4D97-AE37-4482-A0A6-81878EA5AD04},userx,00339-10000-00000-AA731,,userx userx  userx,,C:\Windows\Installer\{90160000-0011-0000-0000-0000000FF1CE}\ShellUI.MST;:core.mst,,,Microsoft Corporation,userx,2
COMPUTERX,userx,Win32_Product,userx,CIM_Product,"Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,System.String[],userx,ROOT\CIMV2,"\\COMPUTERX\ROOT\CIMV2:Win32_Product.IdentifyingNumber=""{90160000-0011-0000-0000-0000000FF1CE}"",Name=""Microsoft Office Professional Plus 2016"",Version=""16.0.4266.1001""",userx,Microsoft Office Professional Plus 2016,Microsoft Office Professional Plus 2016,,,{90160000-0011-0000-0000-0000000FF1CE},userx,,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90160000-0011-0000-0000-0000000FF1CE}-C\,userx,0,C:\Windows\Installer\3308bc.msi,Microsoft Office Professional Plus 2016,C:\Windows\Installer\3308bc.msi,{F3CA4D97-AE37-4482-A0A6-81878EA5AD04},userx,00339-10000-00000-AA804,,userx userx  userx,,C:\Windows\Installer\{90160000-0011-0000-0000-0000000FF1CE}\ShellUI.MST;:core.mst,,,Microsoft Corporation,userx,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
